Timestamp,AccelX,AccelY,AccelZ,DoorHall,FloorHall
1775766939.723399,-0.011224,0.029280,1.019432,0,0
1775766939.723399,-0.010248,0.028792,1.016016,0,0
1775766939.723399,-0.010248,0.028792,1.016016,0,0
1775766939.723399,-0.010248,0.030256,1.014552,0,0
1775766939.723399,-0.009760,0.030256,1.014552,0,0
1775766939.723399,-0.009760,0.030256,1.014552,0,0
1775766939.723399,-0.006832,0.027816,1.013088,0,0
1775766939.723399,-0.006832,0.027816,1.013088,0,0
1775766939.723399,-0.006832,0.027816,1.017480,0,0
1775766939.723399,-0.009760,0.027816,1.017480,0,0
1775766939.723399,-0.009760,0.027816,1.017480,0,0
1775766939.723399,-0.009272,0.028304,1.021872,0,0
1775766939.723399,-0.009272,0.028304,1.021872,0,0
1775766939.723399,-0.009272,0.029280,1.021384,0,0
1775766939.723399,-0.011224,0.029280,1.021384,0,0
1775766939.723399,-0.011224,0.029280,1.021384,0,0
1775766939.723399,-0.016592,0.021472,1.016992,0,0
1775766939.723399,-0.016592,0.021472,1.016992,0,0
1775766939.723399,-0.016592,0.022448,1.017480,0,0
1775766939.723399,-0.014152,0.022448,1.017480,0,0
1775766939.723399,-0.014152,0.022448,1.017480,0,0
1775766939.723399,-0.013664,0.028304,1.021872,0,0
1775766939.723399,-0.013664,0.028304,1.021872,0,0
1775766939.723399,-0.012200,0.030744,1.019432,0,0
1775766939.723399,-0.012200,0.030744,1.019432,0,0
1775766939.723399,-0.012200,0.030744,1.019432,0,0
1775766939.723399,-0.016104,0.025376,1.019432,0,0
1775766939.723399,-0.016104,0.025376,1.019432,0,0
1775766939.723399,-0.016104,0.022936,1.016992,0,0
1775766939.723399,-0.016104,0.022936,1.016992,0,0
1775766939.723399,-0.016104,0.022936,1.016992,0,0
1775766939.723399,-0.014152,0.027328,1.016992,0,0
1775766939.723399,-0.014152,0.027328,1.016992,0,0
1775766939.723399,-0.014640,0.027328,1.018456,0,0
1775766939.723399,-0.014640,0.027328,1.018456,0,0
1775766939.723399,-0.014640,0.027328,1.018456,0,0
1775766939.723399,-0.016592,0.023424,1.015528,0,0
1775766939.723399,-0.016592,0.023424,1.015528,0,0
1775766939.723399,-0.013664,0.026840,1.015040,0,0
1775766939.723399,-0.013664,0.026840,1.015040,0,0
1775766939.723399,-0.013664,0.026840,1.015040,0,0
1775766939.723399,-0.012200,0.027816,1.014064,0,0
1775766939.723399,-0.012200,0.027816,1.014064,0,0
1775766939.723399,-0.014640,0.027328,1.017480,0,0
1775766939.723399,-0.014640,0.027328,1.017480,0,0
1775766939.723399,-0.014640,0.027328,1.017480,0,0
1775766939.723399,-0.017568,0.020008,1.015040,0,0
1775766939.723399,-0.017568,0.020008,1.015040,0,0
1775766939.723399,-0.014640,0.020008,1.012112,0,0
1775766939.723399,-0.014640,0.020008,1.012112,0,0
1775766939.7834,-0.015616,0.028792,1.016992,0,0
1775766939.7834,-0.013176,0.022936,1.016992,0,0
1775766939.7834,-0.013176,0.022936,1.016992,0,0
1775766939.7834,-0.018544,0.012688,1.035536,0,0
1775766939.7834,-0.018544,0.012688,1.035536,0,0
1775766939.7834,-0.018544,0.012688,1.037000,0,0
1775766939.7834,-0.020496,0.010248,1.037000,0,0
1775766939.7834,-0.020496,0.010248,1.037000,0,0
1775766939.7834,-0.009760,0.028304,1.004304,0,0
1775766939.7834,-0.009760,0.028304,1.004304,0,0
1775766939.7834,-0.009760,0.028304,1.007720,0,0
1775766939.7834,-0.012200,0.039040,1.007720,0,0
1775766939.7834,-0.012200,0.039040,1.007720,0,0
1775766939.7834,-0.012688,0.023424,1.026264,0,0
1775766939.7834,-0.012688,0.023424,1.026264,0,0
1775766939.7834,-0.012688,0.023424,1.023336,0,0
1775766939.7834,-0.008296,0.031232,1.023336,0,0
1775766939.7834,-0.008296,0.031232,1.023336,0,0
1775766939.7834,-0.005368,0.027328,1.010648,0,0
1775766939.7834,-0.005368,0.027328,1.010648,0,0
1775766939.7834,-0.005368,0.027328,1.017480,0,0
1775766939.7834,-0.009760,0.029280,1.017480,0,0
1775766939.7834,-0.009760,0.029280,1.017480,0,0
1775766939.7834,-0.005856,0.023424,1.010160,0,0
1775766939.7834,-0.005856,0.023424,1.010160,0,0
1775766939.7834,-0.005856,0.023424,1.017480,0,0
1775766939.7834,-0.006832,0.021960,1.017480,0,0
1775766939.7834,-0.006832,0.021960,1.017480,0,0
1775766939.7834,-0.009760,0.018544,1.020896,0,0
1775766939.7834,-0.009760,0.018544,1.020896,0,0
1775766939.7834,-0.009760,0.020984,1.021872,0,0
1775766939.7834,-0.004392,0.020984,1.021872,0,0
1775766939.7834,-0.004392,0.020984,1.021872,0,0
1775766939.7834,-0.001952,0.027328,1.011136,0,0
1775766939.7834,-0.001952,0.027328,1.011136,0,0
1775766939.7834,-0.001952,0.028792,1.014064,0,0
1775766939.7834,-0.000488,0.028792,1.014064,0,0
1775766939.7834,-0.000488,0.028792,1.014064,0,0
1775766939.7834,-0.009272,0.024400,1.019920,0,0
1775766939.7834,-0.009272,0.024400,1.019920,0,0
1775766939.7834,-0.009272,0.027816,1.019920,0,0
1775766939.7834,-0.009760,0.027816,1.019920,0,0
1775766939.7834,-0.009760,0.027816,1.019920,0,0
1775766939.7834,-0.009760,0.031720,1.018944,0,0
1775766939.7834,-0.009760,0.031720,1.018944,0,0
1775766939.7834,-0.009760,0.030256,1.019920,0,0
1775766939.7834,-0.009760,0.030256,1.019920,0,0
1775766939.7834,-0.009760,0.030256,1.019920,0,0
1775766939.7834,-0.005856,0.030256,1.025288,0,0
1775766939.7834,-0.005856,0.030256,1.025288,0,0
1775766939.843374,-0.002928,0.019032,1.017968,0,0
1775766939.843374,-0.004880,0.019032,1.017968,0,0
1775766939.843374,-0.004880,0.019032,1.017968,0,0
1775766939.843374,-0.000976,0.019520,1.015528,0,0
1775766939.843374,-0.000976,0.019520,1.015528,0,0
1775766939.843374,-0.000976,0.021472,1.014064,0,0
1775766939.843374,-0.003416,0.021472,1.014064,0,0
1775766939.843374,-0.003416,0.021472,1.014064,0,0
1775766939.843374,-0.003904,0.022936,1.015040,0,0
1775766939.843374,-0.003904,0.022936,1.015040,0,0
1775766939.843374,-0.007808,0.022936,1.015040,0,0
1775766939.843374,-0.007808,0.022936,1.015040,0,0
1775766939.843374,-0.007808,0.022936,1.015040,0,0
1775766939.843374,-0.009760,0.022448,1.015528,0,0
1775766939.843374,-0.009760,0.022448,1.015528,0,0
1775766939.843374,-0.011224,0.026352,1.018456,0,0
1775766939.843374,-0.011224,0.026352,1.018456,0,0
1775766939.843374,-0.011224,0.026352,1.018456,0,0
1775766939.843374,-0.009760,0.027816,1.014552,0,0
1775766939.843374,-0.009760,0.027816,1.014552,0,0
1775766939.843374,-0.008296,0.030256,1.014064,0,0
1775766939.843374,-0.008296,0.030256,1.014064,0,0
1775766939.843374,-0.008296,0.030256,1.014064,0,0
1775766939.843374,-0.010736,0.029280,1.016992,0,0
1775766939.843374,-0.010736,0.029280,1.016992,0,0
1775766939.843374,-0.011224,0.028304,1.023336,0,0
1775766939.843374,-0.011224,0.028304,1.023336,0,0
1775766939.843374,-0.011224,0.028304,1.023336,0,0
1775766939.843374,-0.012688,0.035136,1.015528,0,0
1775766939.843374,-0.012688,0.035136,1.015528,0,0
1775766939.843374,-0.011224,0.032696,1.016992,0,0
