Timestamp,AccelX,AccelY,AccelZ,DoorHall,FloorHall
1775804328.649398,0.001952,0.013176,1.017968,0,0
1775804328.649398,0.001952,0.013176,1.017968,0,0
1775804328.649398,0.001952,0.014152,1.021384,0,0
1775804328.649398,0.004392,0.014152,1.021384,0,0
1775804328.649398,0.004392,0.014152,1.021384,0,0
1775804328.649398,0.008296,0.010736,1.025288,0,0
1775804328.649398,0.008296,0.010736,1.025288,0,0
1775804328.649398,0.004880,0.015616,1.020896,0,0
1775804328.649398,0.004880,0.015616,1.020896,0,0
1775804328.649398,0.004880,0.015616,1.020896,0,0
1775804328.649398,-0.003416,0.011224,1.019920,0,0
1775804328.649398,-0.003416,0.011224,1.019920,0,0
1775804328.649398,0.001952,0.005856,1.016504,0,0
1775804328.649398,0.001952,0.005856,1.016504,0,0
1775804328.649398,0.001952,0.005856,1.016504,0,0
1775804328.649398,0.008784,0.011224,1.026752,0,0
1775804328.649398,0.008784,0.011224,1.026752,0,0
1775804328.649398,0.009760,0.012688,1.024800,0,0
1775804328.649398,0.009760,0.012688,1.024800,0,0
1775804328.649398,0.009760,0.012688,1.024800,0,0
1775804328.649398,0.002928,0.019032,1.018456,0,0
1775804328.649398,0.002928,0.019032,1.018456,0,0
1775804328.649398,0.004880,0.016592,1.019432,0,0
1775804328.649398,0.004880,0.016592,1.019432,0,0
1775804328.649398,0.004880,0.016592,1.019432,0,0
1775804328.649398,0.007808,0.010736,1.022360,0,0
1775804328.649398,0.007808,0.010736,1.022360,0,0
1775804328.649398,0.008784,0.010248,1.025288,0,0
1775804328.649398,0.008784,0.010248,1.025288,0,0
1775804328.649398,0.008784,0.010248,1.025288,0,0
1775804328.649398,0.009272,0.008784,1.022848,0,0
1775804328.649398,0.009272,0.008784,1.022848,0,0
1775804328.649398,0.006344,0.012200,1.023336,0,0
1775804328.649398,0.006344,0.012200,1.023336,0,0
1775804328.649398,0.006344,0.012200,1.023336,0,0
1775804328.649398,0.001464,0.008784,1.017480,0,0
1775804328.649398,0.001464,0.008784,1.017480,0,0
1775804328.649398,0.001464,0.012688,1.016992,0,0
1775804328.649398,0.001464,0.012688,1.016992,0,0
1775804328.649398,0.001464,0.012688,1.016504,0,0
1775804328.649398,0.003904,0.017080,1.016504,0,0
1775804328.649398,0.003904,0.017080,1.016504,0,0
1775804328.649398,0.004880,0.014640,1.014552,0,0
1775804328.649398,0.004880,0.014640,1.014552,0,0
1775804328.649398,0.004880,0.014640,1.014552,0,0
1775804328.649398,0.001464,0.012688,1.014552,0,0
1775804328.649398,0.001464,0.012688,1.014552,0,0
1775804328.649398,-0.001952,0.012200,1.018944,0,0
1775804328.649398,-0.001952,0.012200,1.018944,0,0
1775804328.649398,-0.001952,0.012200,1.020408,0,0
1775804328.709809,0.001464,0.012200,1.017480,0,0
1775804328.709809,0.001464,0.012200,1.017480,0,0
1775804328.709809,0.000976,0.017080,1.019432,0,0
1775804328.709809,0.000976,0.017080,1.019432,0,0
1775804328.709809,0.000976,0.017080,1.017968,0,0
1775804328.709809,0.006832,0.017568,1.017968,0,0
1775804328.709809,0.006832,0.017568,1.017968,0,0
1775804328.709809,0.003904,0.017080,1.015528,0,0
1775804328.709809,0.003904,0.017080,1.015528,0,0
1775804328.709809,0.003904,0.017080,1.017968,0,0
1775804328.709809,0.002928,0.015128,1.017968,0,0
1775804328.709809,0.002928,0.015128,1.017968,0,0
1775804328.709809,0.002440,0.015128,1.018944,0,0
1775804328.709809,0.002440,0.015128,1.018944,0,0
1775804328.709809,0.002440,0.015128,1.019920,0,0
1775804328.709809,0.001464,0.015128,1.019920,0,0
1775804328.709809,0.001464,0.015128,1.019920,0,0
1775804328.709809,-0.003416,0.010736,1.019920,0,0
1775804328.709809,-0.003416,0.010736,1.019920,0,0
1775804328.709809,-0.003416,0.013664,1.018944,0,0
1775804328.709809,0.000000,0.013664,1.018944,0,0
1775804328.709809,0.000000,0.013664,1.018944,0,0
1775804328.709809,0.000000,0.012688,1.017968,0,0
1775804328.709809,0.000000,0.012688,1.017968,0,0
1775804328.709809,0.000000,0.014152,1.020896,0,0
1775804328.709809,-0.002440,0.014152,1.020896,0,0
1775804328.709809,-0.002440,0.014152,1.020896,0,0
1775804328.709809,-0.001464,0.010736,1.021872,0,0
1775804328.709809,-0.001464,0.010736,1.021872,0,0
1775804328.709809,-0.001464,0.012200,1.021384,0,0
1775804328.709809,-0.000488,0.012200,1.021384,0,0
1775804328.709809,-0.000488,0.012200,1.021384,0,0
1775804328.709809,0.003416,0.019032,1.019432,0,0
